"";"address";"city";"country";"name";"province";"reviews.date";"reviews.text";"reviews.title";"reviews.username";"cleaned";"document";"positive";"negative";"tflabel";"tf_idf_positive";"tf_idf_negative";"label_tf_idf";"comparison";"deg_of_sentiment";"rating"
"31085";"5059 Highway 140";"Mariposa";"US";"Monarch Inn";"CA";2016-05-29;"No customer service, elevator was very old, bed was not comfortable, and definitely not worth what I paid for 1 night. O";"Not worth the cost";"A Traveler";" customer service elevator old bed comfortable definitely worth pay night o worth cost";"text1199";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"31263";"1606 Central Ave";"Albany";"US";"Days Inn and Suites Albany";"Colonie Center";2016-07-06;"It was creepy and it was so dirty and the bathroom smells like sweat";"not great";"A Traveler";" creepy dirty bathroom smell like sweat great";"text1202";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"31460";"35 Via Pico Plz";"San Clemente";"US";"Holiday Inn Express San Clemente";"CA";2015-07-06;"Nicely updated hotel. However it can be hard to find with the only entrance inside the parking lot of a shopping center. Two mapping apps took me to the incorrect location. Tucked away on the top of a hill makes it feel removed from the hustle and bustle below.";"Good stay for business";"TravelerJay630";" nicely update hotel however can hard find entrance inside park lot shop center two map app take incorrect location tuck away top hill make feel remove hustle bustle good stay business";"text1213";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"31713";"450 Raynolds St";"El Paso";"US";"Americas Best Value Inn - Medical Center/airport";"TX";2016-07-27;"Couldn't get good sleep room needed more help with cleaning";"it was OK";"A Traveler";" get good sleep room need much help clean okay";"text1216";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"31827";"222 S Broadway Ave";"Boise";"US";"Courtyard By Marriott Downtown Boise";"ID";2015-02-16;"I stayed over a weekend in this hotel, just a short getaway. The hotel was very nice, the staff was welcoming";"Boise weekend";"Andrea";" stay weekend hotel just short getaway hotel nice staff welcome boise weekend";"text1222";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"31838";"222 S Broadway Ave";"Boise";"US";"Courtyard By Marriott Downtown Boise";"ID";2014-12-09;"Good location. Convenient to boise state and downtown.";"convenient and comfortable.";"A Traveler";" good location convenient boise state downtown convenient comfortable";"text1224";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"31964";"1293 W Broadway St";"Idaho Falls";"US";"Fairfield Inn and Suites By Marriott Idaho Falls";"ID";2013-10-29;"Our stay was great room was close to ice machine and noisy elevator never came no matter how much you pushed the button";"Easy access";"A Traveler";" stay great room close ice machine noisy elevator never come matter much push button easy access";"text1230";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32086";"4800 S Ocean Blvd";"North Myrtle Beach";"US";"Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management";"Cherry Grove";2011-08-20;"Everything here is great! Try there pi��a colada's at there beach bar! Lay out and enjoy the sun :)";"Above Average";"Dudley Dickerson";" everything great try pi�� coladas beach bar lie enjoy sun average";"text1235";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32106";"4800 S Ocean Blvd";"North Myrtle Beach";"US";"Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management";"Cherry Grove";2013-10-29;"Great place but is in need of an update as rooms (B Tower) are falling apart at the seams!";"Wonderful Anniversary!";"David Dover";" great place need update room b tower fall apart seam wonderful anniversary";"text1236";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32195";"2605 Weston Rd";"Fort Lauderdale";"US";"Residence Inn By Marriott Fort Lauderdale Weston";"Southwest Ranches";2015-07-17;"Right across the street from a nice Ale House.";"Fun weekend place to stay.";"Luis";" right across street nice ale house fun weekend place stay";"text1242";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32587";"12825 Ventura Blvd";"Studio City";"US";"Sportsmen's Lodge";"CA";2013-09-06;"take a peak into one of our private, poolside cabanas for rent! we'll be pool-partying again saturday & sunday from 1pm to 7pm with some of la's top djs! min $25 food/beverage spend - non-hotel guests";"not happy";"Sportsmen's Lodge";" take peak one private poolside cabana rend pool party saturday sunday pm pm las top dj min food beverage spend non hotel guest happy";"text1254";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32715";"88 E Nationwide Blvd";"Columbus";"US";"Drury Inn and Suites Columbus Convention Center";"OH";2015-09-11;"My favorite hotel in Columbus!";"Winning Weekend";"Pete L.";" favorite hotel columbus win weekend";"text1263";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32716";"88 E Nationwide Blvd";"Columbus";"US";"Drury Inn and Suites Columbus Convention Center";"OH";2015-11-07;"Great extras";"Winning Weekend";"Meghann";" great extra win weekend";"text1264";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32806";"88 E Nationwide Blvd";"Columbus";"US";"Drury Inn and Suites Columbus Convention Center";"OH";2016-10-28;"Did not honor the price I was quoted. Would not reimbursed. Will never use again";"Won't honor booking price";"A Traveler";" honor price quote reimburse never use honor book price";"text1267";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32829";"88 E Nationwide Blvd";"Columbus";"US";"Drury Inn and Suites Columbus Convention Center";"OH";2016-07-01;"Perfect hotel for a one night stay before A volleyball tournament at the convention center. It was so convenient! We arrived around 5 pm and ate dinner at their buffet. Nothing fancy but saved us dinner . The pool was right there so kids could swim while another mom I had drinks from the mini bar. Ate breakfast before... More";"Overnight for volleyball tourney";"Carrie D";" perfect hotel one night stay volleyball tournament convention center convenient arrive around pm eat dinner buffet nothing fancy save us dinner pool right kid can swim another mom drink mini bar eat breakfast much overnight volleyball tourney";"text1270";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32867";"88 E Nationwide Blvd";"Columbus";"US";"Drury Inn and Suites Columbus Convention Center";"OH";2015-10-16;"As always we stay at Drury when we are away. We are in Columbus for Blue Jackets games throughout the season and never think to go elsewhere. Quality, location,value and just the overall experience of staying here keep bringing us back.";"There is no better";"Ken S";" always stay drury away columbus blue jacket game throughout season never think go elsewhere quality location value just overall experience stay keep bring us back good";"text1275";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32935";"5040 Redwood Dr";"Rohnert Park";"US";"Good Nite Inn Rohnert Park";"CA";2016-04-18;"Good place to stay after riding motorcycles all day";"Good place to stay";"Dave";" good place stay ride motorcycle day good place stay";"text1280";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32939";"5040 Redwood Dr";"Rohnert Park";"US";"Good Nite Inn Rohnert Park";"CA";2016-06-18;"Not real impressed by this place, we won't be back";"Not impressed";"A Traveler";" real impress place back impress";"text1281";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32952";"5040 Redwood Dr";"Rohnert Park";"US";"Good Nite Inn Rohnert Park";"CA";2016-06-26;"Some early morning trucks were VERY loud. There is a reason the room comes with ear plugs.";"Good price. Great location.";"Paul";" early morning truck loud reason room come ear plug good price great location";"text1283";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"32957";"5040 Redwood Dr";"Rohnert Park";"US";"Good Nite Inn Rohnert Park";"CA";2016-05-06;"The room was nice. but the check in was inconvenient in that i had to do it from outside and when I walked up there was someone who saw me come to the window but he never got up and acknowledged me, nor was there any doorbell or buzzer to let them know i was there. I had to stand out in the cold and wait till someone else came to check me in. Then that process a bit unorganized and the girl didn't give me my driver's license back and i didn't know it till the next morning at check out. and I only found out then because instead of leaving the keys in the room like I usually do I decided to go to the lobby and check out. They gave me my license then.";"Stay Away!";"Justin Hettich";" room nice check inconvenient outside walk someone see come window never get acknowledge doorbell buzzer let know stand cold wait till someone else come check process bite unorganized girl give drivers license back know till next morning check find instead leave key room like usually decide go lobby check give license stay away";"text1284";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"33115";"6505 Metal Dr";"Fort Pierce";"US";"Comfort Suites Fort Pierce";"FL";2015-02-26;"Bed was very good. Rested and ready for the next day.";"Business Trip";"Kc";" bed good rest ready next day business trip";"text1295";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"33133";"6505 Metal Dr";"Fort Pierce";"US";"Comfort Suites Fort Pierce";"FL";2015-01-20;"Very comfortable for a night's stay on the way to the Keys";"Nice hotel just off I95";"mary";" comfortable nights stay way key nice hotel just i";"text1298";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"33327";"1400 Roebuck Dr";"Meridian";"US";"La Quinta Inn and Suites Meridian";"Meeham";2013-05-28;"great place if you have pets. no deposit and no questions. the people down the hall have 9 chihuahuas in there but i haven't heard them barking. other hotels  want an extra ten bucks per pet a day.";"Great Night";"AC Sommers";" great place pet deposit question people hall chihuahua hear bark hotel want extra ten buck per pet day great night";"text1306";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"33546";"3080 E Colby St";"Whitehall";"US";"Americas Best Value Inn";"MI";2016-08-06;"This is probably the filthiest hotel I have ever seen. Old, tired and in need of drastic upgrading. A blowtorch would be a good start. The front desk person, although nice and cordial, had a very poor command of the English language. I could barely understand anything he said. We ended up leaving and cancelling our reservation, and drove another 30 miles north to find a room.";"Dirty does not begin to describe this hotel !!";"A Traveler";" probably filthy hotel ever see old tire need drastic upgrade blowtorch good start front desk person although nice cordial poor command english language can barely understand anything say end leave cancel reservation drive another mile north find room dirty begin describe hotel";"text1309";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"33759";"18 Bath St";"Santa Barbara";"US";"Casa Del Mar Inn Bandb";"CA";2013-06-18;"Love the new courtyard";"Very nice motel. Vehicle in Marina burgled ...";"Chrissa Chase";" love new courtyard nice motel vehicle marina burgle";"text1319";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"33783";"18 Bath St";"Santa Barbara";"US";"Casa Del Mar Inn Bandb";"CA";2015-05-15;"My fianc and I spent three nights at Casa del Mar in April. The location is amazing and within walking (or short driving) distance of everything we wanted to do and see, and it was (mostly) clean. The wine and cheese offering in the evening was a definite highlight of our trip, and though the breakfast selection was cereal, pastries... More";"9th anniversary trip ..";"KMuree";" fianc spend three night casa del mar april location amaze within walk short drive distance everything want see mostly clean wine cheese offer even definite highlight trip though breakfast selection cereal pastry much th anniversary trip";"text1322";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"33798";"18 Bath St";"Santa Barbara";"US";"Casa Del Mar Inn Bandb";"CA";2011-10-19;"Tasteful complimentary wine & cheese from 5-7";"A joy to stay at";"Tim Ridgway";" tasteful complimentary wine cheese joy stay ";"text1324";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"33799";"18 Bath St";"Santa Barbara";"US";"Casa Del Mar Inn Bandb";"CA";2015-05-21;"We spent one night at the Casa Del Mar in April. We'd seen it while walking by to another hotel on a previous stay and the outside was pretty. When our other hotel was full, we selected this one. Because we know what the other places in the area offer, we found this decidedly average. The outside is so pretty,... More";"Uncompromisingly Average";"GirlMakesSense";" spend one night casa del mar april see walk another hotel previous stay outside pretty hotel full select one know place area offer find decidedly average outside pretty much uncompromisingly average";"text1325";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"33815";"460 Waterbury Ct";"Columbus";"US";"Holiday Inn Express and Suites Gahanna/columbus Airport E";"OH";2016-03-09;"Was happy with the hotel but they advertise 24 shuttle to airport and we paid to leave the vehicle at hotel. They did not offer 24 hour shuttle so we had to park at airport. Was not happy with Hotels.com, but I have to say, they made it right. This is the 2nd time that something was different than advertised with hotel.com, but they make it right with you!";"Airport";"Cheryl";" happy hotel advertise shuttle airport pay leave vehicle hotel offer hour shuttle park airport happy hotel com say make right nd time something different advertise hotel com make right airport";"text1327";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"33864";"460 Waterbury Ct";"Columbus";"US";"Holiday Inn Express and Suites Gahanna/columbus Airport E";"OH";2015-12-09;"Had loud people banging on the doors in the hall at 2 am, other wise clean and professional.";"Great hotel -- clean and presentable!";"Brian";" loud people bang door hall wise clean professional great hotel clean presentable";"text1330";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"33913";"1209 S Haynes Ave";"Miles City";"US";"Econo Lodge Miles City";"MT";2015-07-20;"Very noisey. Not comfortable and not very clean.";"Ok for 1 night";"Lynn";" noisey comfortable clean okay night";"text1332";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"34202";"Blvd Villas De Irapuato 1362";"Mobile";"US";"City Express Irapuato";"AL";2015-07-08;"Great hotel! Loved the breakfast provided everyday.";"���������������������������";"A Traveler";" great hotel love breakfast provide everyday ���������������������������";"text1346";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"34459";"31530 State Route 20";"Oak Harbor";"US";"Acorn Motor Inn";"WA";2015-10-26;"Was a decent location. Our room was on the main floor backside away from main street so it was quiet as far as traffic. Like most places opening and closing doors can be loud. Some construction guys were in and out a lot that night and don't know how to shut a door quietly. Room was clean and bed was... More";"Nice room for the price";"Dave H";" decent location room main floor backside away main street quiet far traffic like much place open close door can loud construction guy lot night know shut door quietly room clean bed much nice room price";"text1351";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"34483";"425 Ocean Dr";"Miami Beach";"US";"The Savoy Hotel";"Venetian Islands";2015-08-18;"Kept having to ask staff to restock towels and I didn't like that you had to call the front desk for ice";"Nice private beach";"ciara";" keep ask staff restock towel like call front desk ice nice private beach";"text1354";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"34535";"425 Ocean Dr";"Miami Beach";"US";"The Savoy Hotel";"Venetian Islands";2014-10-01;"Hotel peque��o pero muy acogedor, excelente ubicaci��n, solicita cuarto con balc��n y/o vista al mar, precio muy razonable.";"Perfect Beach View";"Rafael Posadas";"small cozy hotel excellent location request room balcony ocean view reasonable price perfect beach view ";"text1358";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"34553";"425 Ocean Dr";"Miami Beach";"US";"The Savoy Hotel";"Venetian Islands";2010-04-11;"Room 128 is Awesome !";"Right off the beach beautiful";"Josue Mr. Spikes";" room awesome right beach beautiful";"text1359";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"35425";"964 D Ave";"Coronado";"US";"Cherokee Lodge Bed and Breakfast";"CA";2016-06-29;"Awesome";"Be Like home";"A Traveler";"awesome like home ";"text1379";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"35441";"964 D Ave";"Coronado";"US";"Cherokee Lodge Bed and Breakfast";"CA";2016-01-07;"Loved it we will definitely return.";"Cherokee B&B";"Bradley";" love definitely return cherokee b b";"text1380";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"35531";"9435 Highway 49";"Gulfport";"US";"Quality Inn Gulfport";"Orange Grove";2016-02-13;"There was four of us ,It was great!We will stay again.";"Great customer services";"Faye";" four us great stay great customer service";"text1382";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"35602";"1154 Hurffville Rd";"West Deptford";"US";"Residence Inn By Marriott Deptford";"Woodbury";2015-12-24;"Had 2 rooms All guest agreed the beds were to hard";"Great spacious room but bed to hard";"Frances";" room guest agree bed hard great spacious room bed hard";"text1388";2;0;"positive";0,0999025220265701;0;"positive";"same";0,0999025220265701;"5"
"242";"864";"Binghamton";"US";"Fairfield Inn By Marriott Binghamton";"Choconut Center";2014-08-15;"Hotel seemed clean. Staff was pleasant. Room seemed clean but it smelled very musty. I'm not sure why it smelled that way. It would be much better if they offered rooms with 2 queen beds instead of two double beds.";"Room smelled very musty.";"A Traveler";" hotel seem clean staff pleasant room seem clean smell musty sure smell way much good offer room queen bed instead two double bed room smell musty";"text18";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"268";"2700 S Country Club Rd";"El Reno";"US";"Days Inn El Reno Ok";"OK";2015-11-24;"we stayed for 2 nights the room was clean and beds were comfortable and it was in a good location close to a walmart and fast food resturants";"good place";"Jennifer";" stay night room clean bed comfortable good location close walmart fast food resturants good place";"text20";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"880";"3100 I 70 Doctor S E";"Columbia";"US";"Howard Johnson Inn Columbia";"Elkhurst";2016-10-14;"Room needed updating, but for the price I could deal with that. What I couldn't overlook was the layer of dust and cobwebs covering the drapes that blows all over the room every time the air kicks on, or the toilet that isn't attached to the floor properly, or the drafty window, mildew stained tile, torn curtains, and cracked microwave door. I also wasn't expecting to spend all night smelling the food from the banquet rooms downstairs. I wasn't expecting to be amazed at the price I paid for this room, but I was at least expecting to have had them keep up with routine maintenance and cleaning, and maybe put in some air fresheners in the hallway to counteract the smells from the banquets. Overall, the bed was comfortable, the shower was hot, and I only needed someplace for 1 night to attend a conference at the university, so it served it's purpose.";"Great price, but needs an update";"A Traveler";" room need update price can deal overlook layer dust cobweb cover drape blow room every time air kick toilet attach floor properly drafty window mildew stain tile tear curtain crack microwave door also expect spend night smell food banquet room downstairs expect amaze price pay room less expect keep routine maintenance clean maybe put air freshener hallway counteract smell banquet overall bed comfortable shower hot need someplace night attend conference university serve purpose great price need update";"text34";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"913";"5719 Fairfield Rd";"Columbia";"US";"Super 8 Columbia Dwntwn Sc";"SC";2014-05-08;"I was really impressed by this Super 8 motel and would recommend it for anybody wanting to or having to be in Columbia, SC.";"Super Gr8!";"Mike A.";" really impress super motel recommend anybody want columbia sc super gr";"text35";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"961";"2316 Shepherd";"Branson";"US";"Days Inn Branson / Near The Strip";"Bull Creek Village";2016-06-08;"have stayed there before.... Clean, continental breakfast is a continental breakfast..... quiet. and easy to get in and out of. Beginning to need some make over from the amount of traffice it serves.....";"Nice Motel out of the main traffice..easy to find";"Skot";" stay clean continental breakfast continental breakfast quiet easy get begin need make amount traffice serve nice motel main traffice easy find";"text39";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"1162";"716 21st St";"Virginia Beach";"US";"Ambassadors Inn and Suites";"VA";2016-10-10;"The staff was very friendly and our room was clean. Perfect size and location for a getaway.";"Nice hotel and staff.";"A Traveler";" staff friendly room clean perfect size location getaway nice hotel staff";"text45";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"1168";"716 21st St";"Virginia Beach";"US";"Ambassadors Inn and Suites";"VA";2016-09-15;"The staff was friendly and helpful, the room needed alot of improvement. Broken bathroom door and dirty carpet.";"Walking distance to ocean and boardwalk";"A Traveler";" staff friendly helpful room need alot improvement break bathroom door dirty carpet walk distance ocean boardwalk";"text47";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"1215";"Europark Fichtenhain A1";"Terre Haute";"US";"Tryp Dusseldorf Krefeld Hotel";"IN";2014-11-02;"Overall a good stay, but with unfulfilled expectations i.e. the web booking suggested that there would be coffee making facilities in the room ---NOT SO the web booking suggested that there would be bottled water in the room ---NOT SO ( but was given on request) The staff on duty said they would get back to me immediately about the discrepancy between the web booking promises the actual facilities in my normal/basic room however after 2 weeks I have had no response";"Unfulfilled needs ( whcih were promised in the web";"A Traveler";" overall good stay unfulfilled expectation e web book suggest coffee make facility room web book suggest bottle water room give request staff duty say get back immediately discrepancy web book promise actual facility normal basic room however week response unfulfilled need whcih promise web";"text53";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"2032";"1590 Cool Water Ln";"Barstow";"US";"Days Inn Barstow";"CA";2016-02-11;"Overall good hotel, pool was open but freezing cold, couldn't seem to work the hot tub though. Breakfast in the morning consisted of a lot of carbs, not many choices for protein. Room was okay, there were some left over curly fries hidden behind the bed that my service dog got to.";"Breakfast!";"Cassy J";" overall good hotel pool open freeze cold seem work hot tub though breakfast morning consist lot carbs many choice protein room okay leave curly fry hide behind bed service dog get breakfast";"text68";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"2961";"102 N Alvernon Way";"Tucson";"US";"La Quinta Inn and Suites Tucson - Reid Park";"AZ";2016-07-16;"Nice was for school shopping close to mall loved the pool";"Nice family time";"Rhonda";" nice school shop close mall love pool nice family time";"text97";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"2974";"102 N Alvernon Way";"Tucson";"US";"La Quinta Inn and Suites Tucson - Reid Park";"AZ";2016-06-30;"The people we're terrific from mgr to maintanance very helpful with directions.., very nice";"La Quinta Hotel, a place worth Staying.";"linda";" people terrific mgr maintanance helpful direction nice la quinta hotel place worth stay";"text98";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"3534";"210 Ludlow St";"Warren";"US";"Days Inn Warren";"PA";2013-06-01;"Nice and clean nice people";"Nice Hotel... Close to everything";"Greg";" nice clean nice people nice hotel close everything";"text108";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"3869";"Bia Route 7 Garcia Trading Post";"Chinle";"US";"Holiday Inn Canyon De Chelly";"Cottonwood Station";2016-06-18;"We stayed here because it was close to Canyon de Chelly which we wanted to visit. Everything was very nice except for the smell of cigarettes in the room. Our friends also stayed here, and they said their room was perfect.";"Close to Canyon de Chelly";"Marsha";" stay close canyon de chelly want visit everything nice except smell cigarette room friend also stay say room perfect close canyon de chelly";"text116";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"6294";"457 Mountain Village Blvd";"Telluride";"US";"Mountain Lodge At Telluride - A Noble House Resort";"Pandora";2016-10-28;"No services offered in the off season. No restaurant or bar. Pool was open and heated. Rooms are nice but need better pillows.";"Better in the on season.";"A Traveler";" service offer season restaurant bar pool open heat room nice need good pillow good season";"text156";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"6399";"3614 W Garriott Rd";"Enid";"US";"Baymont Inn and Suites Enid";"OK";2014-07-16;"Good size room. Hallway upstairs did smell of smoke but the room did not. Nice indoor pool. Variety of breakfast items.";"Nice stay";"Sarah";" good size room hallway upstairs smell smoke room nice indoor pool variety breakfast item nice stay";"text159";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"6430";"9800 Bonita Beach Rd";"Bonita Springs";"US";"Comfort Inn";"FL";2016-06-17;"Great location- close toNaes. Great pool. Quiet hotel. Highly recommend!";"Perfect all around";"Kathryn";" great location close tonaes great pool quiet hotel highly recommend perfect around";"text164";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"6708";"1700 Skibo Rd";"Fayetteville";"US";"Hampton Inn Fayetteville Fort Bragg";"Ponderosa";2015-06-14;"Hotel was old and room needed remodeling. The first time we flushed the toilet it overflowed onto our bathroom floor. When I called to have maintenance come up (at approx 9:30pm) to unclog the toilet, I was told that there was no one there to do that for me and that I could come down to the front desk and get the plunger to handle myself. I was told most guests prefer to do this themselves because they do not want strangers in their room. Really I'm on vacation - clearly that wasn't something that was on my must do list. I asked about changing rooms and was told they were sold out. I'm not sure that was truthful since the parking lot was clearly not full. With 3 children and it being 10pm at this point, finding a new hotel wasn't really an option. After being handed a plunger and extra towels I unclogged my own toilet and then proceeded to act as Certfied Plumber two more times that night and the next morning. Breakfast the next morning was the one positive of this stay. I never spoke to the manager - when I went to the desk in the morning to voice my concerns I was told she was on a conference call. The front desk clerk informed us that our bill would be reduced 20. She apologized and said because they aren't a 5 star hotel they do not have 24 hour maintenance. Would not stay here again.";"Not prepared to be a plumber for the night...";"Ann";" hotel old room need remodel first time flush toilet overflow onto bathroom floor call maintenance come approx pm unclog toilet tell one can come front desk get plunger handle tell much guest prefer want stranger room really vacation clearly something must list ask change room tell sell sure truthful since park lot clearly full child pm point find new hotel really option hand plunger extra towel unclogged toilet proceed act certfied plumber two much time night next morning breakfast next morning one positive stay never speak manager go desk morning voice concern tell conference call front desk clerk inform us bill reduce apologize say star hotel hour maintenance stay prepare plumber night";"text179";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"6837";"4691 Castleton Way";"Castle Rock";"US";"Days Inn & Suites Castle Rock";"CO";2016-09-28;"Great trip awesome for the price really convenient";"Great view of the mountains, close to the outlets";"A Traveler";" great trip awesome price really convenient great view mountain close outlet";"text183";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"6862";"4691 Castleton Way";"Castle Rock";"US";"Days Inn & Suites Castle Rock";"CO";2016-06-02;"Average in all respects to the price you pay. Decent breakfast self-served in the lobby. Pool was dated as well as the rooms, but functional. If you're looking for a clean but cost effective stay, this is your place.";"Economic Hotel with Pleasant Staff";"mason t";" average respect price pay decent breakfast self serve lobby pool date good room functional look clean cost effective stay place economic hotel pleasant staff";"text187";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"6936";"5610 Vineland Rd";"Orlando";"US";"Extended Stay America - Orlando Theme Parks - Vineland Rd.";"FL";2015-12-29;"We were very happy with this hotel. The staff and accommodations were excellent.";"Great time!";"A Traveler";" happy hotel staff accommodation excellent great time";"text188";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"6992";"5610 Vineland Rd";"Orlando";"US";"Extended Stay America - Orlando Theme Parks - Vineland Rd.";"FL";2012-12-19;"Sua casa longe de casa! Excelentes acomoda����es, estacionamento, caf��-da-manh��, piscina, funcion��rios atenciosos e pertinho da Universal. O lugar perfeito pra descansar ap��s um dia inteiro nos parques.";"Great acomadation on a budget";"Fabricio";" house long house excellent accommodation park cafe da manh pool attentive function belong universal perfect place rest um day park great accomadation budget ";"text191";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"7400";"S Via Nullo 5/r";"San Jose";"US";"Hotel Borgo Verde";"CA";2016-05-28;"Had a good time there and a good experience there,";"Nice hotel and quiet";"Lorena";" good time good experience nice hotel quiet";"text214";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"7467";"37611 Us Highway 19 N";"Palm Harbor";"US";"Vista Hotel On Lake Tarpon";"FL";2015-07-12;"No mattress pads so every bump was felt. The room hadnt been cleaned since the restaurant was closed as there was a how was my service envelope. Very nice clerk. Elevator was out of order so stuff had to be carried upstairs.";"Was eh, ok I guess but have stayed in much better";"Terri";" mattress pad every bump feel room hadnt clean since restaurant close service envelope nice clerk elevator order stuff carry upstairs eh okay guess stay much good";"text215";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"7968";"200 S Coombs St";"Napa";"US";"Wine Valley Lodge";"CA";2016-08-09;"Very nice room. Clean, comfortable. no frills";"Great older motel close to Vineyards";"Laura";" nice room clean comfortable frill great old motel close vineyard";"text224";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
"8006";"200 S Coombs St";"Napa";"US";"Wine Valley Lodge";"CA";2016-07-19;"Cheap , affordable and very quite hotels. Breakfast was meh , staff is alright and the room is quite comforting.";"Quite and Nice";"A Traveler";" cheap affordable quite hotel breakfast meh staff alright room quite comfort quite nice";"text228";3;0;"positive";0,149853783039855;0;"positive";"same";0,149853783039855;"5"
